"","year","state","event_type","fscale","total_economic_cost","lat","lng","casualties"
"136",1996,"CO","TORNADO",0,0,39.55,-104.4,0
"137",1996,"CO","TORNADO",0,0,39.52,-104.4,0
"138",1996,"CO","TORNADO",0,0,39.48,-104.34,0
"139",1996,"CO","TORNADO",0,0,39.48,-104.34,0
"140",1996,"CO","TORNADO",1,0,38.59,-105.11,0
"141",1996,"CO","TORNADO",0,0,39.39,-104.56,0
"142",1996,"CO","TORNADO",0,0,39.55,-105.04,0
"143",1996,"CO","TORNADO",0,0,40.05,-104.56,0
"144",1996,"CO","TORNADO",0,0,40.29,-104.46,0
"145",1996,"CO","TORNADO",2,0,40.58,-103.05,0
"146",1996,"CO","TORNADO",2,6.72,39.48,-104.24,0
"147",1996,"CO","TORNADO",1,0,39.43,-104.18,0
"148",1996,"CO","TORNADO",0,0,40.1,-104.22,0
"149",1996,"CO","TORNADO",0,0,40.02,-104.26,0
"150",1996,"CO","TORNADO",2,0,40.27,-104.32,0
"151",1996,"CO","TORNADO",0,0,39.43,-104.1,0
"152",1996,"CO","TORNADO",0,0,39.52,-104.26,0
"153",1996,"CO","TORNADO",0,0,39.43,-104.18,0
"154",1996,"CO","TORNADO",0,0,39.43,-104.13,0
"155",1996,"CO","TORNADO",0,0,39.37,-104.03,0
"156",1996,"CO","TORNADO",0,0,40.07,-103.04,0
"157",1996,"CO","TORNADO",0,0,40.1,-103.01,0
"158",1996,"CO","TORNADO",0,0,39.49,-102.51,0
"159",1996,"CO","TORNADO",0,0,39.05,-102.52,0
"160",1996,"CO","TORNADO",0,0,39.07,-103.42,0
"161",1996,"CO","TORNADO",0,0,39.07,-103.42,0
"162",1996,"CO","TORNADO",0,0,39.08,-103.59,0
"163",1996,"CO","TORNADO",0,0,39.17,-103.3,0
"164",1996,"CO","TORNADO",0,0,38.44,-103.32,0
"165",1996,"CO","TORNADO",0,0,38.58,-103.28,0
"166",1996,"CO","TORNADO",0,0,38.09,-102.42,0
"167",1996,"CO","TORNADO",0,0.05,38.04,-102.19,0
"168",1996,"CO","TORNADO",0,0,40.14,-103.12,0
"169",1996,"CO","TORNADO",0,0,39.56,-102.57,0
"170",1996,"CO","TORNADO",0,0,39.43,-104.15,0
"171",1996,"CO","TORNADO",0,0,39.54,-104.26,0
"172",1996,"CO","TORNADO",0,0,39.57,-104.31,0
"173",1996,"CO","TORNADO",0,0,39.55,-104.26,0
"174",1996,"CO","TORNADO",0,0,40.03,-104.2,0
"175",1996,"CO","TORNADO",0,0,39.57,-104.41,0
"176",1996,"CO","TORNADO",0,0,39.48,-105.05,0
"177",1996,"CO","TORNADO",1,0,39.27,-103.3,0
"178",1996,"CO","TORNADO",0,0,38.34,-103.18,0
"179",1996,"CO","TORNADO",2,0,40.21,-103.58,0
"180",1996,"CO","TORNADO",0,0,40.17,-103.48,0
"181",1996,"CO","TORNADO",0,0,39.45,-103.37,0
"182",1996,"CO","TORNADO",0,0,40.3,-104.35,0
"183",1996,"CO","TORNADO",0,0,39.21,-103.48,0
"184",1996,"CO","TORNADO",0,0,39.09,-102.05,0
"185",1996,"CO","TORNADO",0,0,39.51,-104.38,0
"186",1996,"CO","TORNADO",0,0,39.44,-104.28,0
"187",1996,"CO","TORNADO",0,0,39.49,-104.23,0
"188",1996,"CO","TORNADO",0,0,39.35,-104.31,0
"189",1996,"CO","TORNADO",0,0,39.37,-104.05,0
"190",1996,"CO","TORNADO",0,0,40.05,-104.5,0
"191",1996,"CO","TORNADO",0,0,39.45,-104.18,0
"192",1996,"CO","TORNADO",0,0,40.23,-104.13,0
"193",1996,"CO","TORNADO",0,0,38.14,-104.59,0
"194",1996,"CO","TORNADO",0,0,40.32,-104.44,0
"195",1996,"CO","TORNADO",0,0,40.01,-104.2,0
"196",1996,"CO","TORNADO",0,0,37.27,-102.37,0
"197",1996,"CO","TORNADO",0,0,37.26,-102.4,0
"198",1996,"CO","TORNADO",0,0,37.21,-102.45,0
"199",1996,"CO","TORNADO",0,0,38.28,-102.11,0
"200",1996,"CT","TORNADO",1,2,41.33,-73.02,0
"201",1996,"CT","TORNADO",1,0,41.2,-73.13,0
"202",1996,"FL","TORNADO",0,0.04,28.05,-80.36,0
"203",1996,"FL","TORNADO",1,1.2,25.41,-80.25,9
"204",1996,"FL","TORNADO",0,0.1,26,-80.14,0
"205",1996,"FL","TORNADO",1,0.5,28.21,-80.43,18
"206",1996,"ID","TORNADO",0,0,43.47,-113.18,0
"207",1996,"FL","TORNADO",0,0.02,29.35,-82.09,0
"208",1996,"FL","TORNADO",0,0.02,29.47,-81.39,1
"209",1996,"FL","TORNADO",2,2.8,30.19,-81.43,0
"210",1996,"FL","TORNADO",0,0.008,29.53,-81.17,0
"211",1996,"FL","TORNADO",1,0.5,30.57,-85.17,0
"212",1996,"FL","TORNADO",0,0,30.15,-85.55,0
"213",1996,"FL","TORNADO",0,0.002,30.01,-85.12,0
"214",1996,"FL","TORNADO",0,0,28.12,-81.57,0
"215",1996,"FL","TORNADO",0,0.02,28.33,-82.25,0
"216",1996,"FL","TORNADO",0,0.004,28.4,-82,0
"217",1996,"FL","TORNADO",0,0,28.41,-81.48,0
"218",1996,"FL","TORNADO",0,0,27.38,-80.32,0
"219",1996,"FL","TORNADO",0,0.025,29.52,-81.23,0
"220",1996,"FL","TORNADO",0,0.01,27.45,-81.31,0
"221",1996,"FL","TORNADO",0,1,28.08,-81.04,0
"222",1996,"FL","TORNADO",0,0.05,27.11,-80.55,1
"223",1996,"FL","TORNADO",0,0,25.05,-80.27,0
"224",1996,"FL","TORNADO",1,0.1,26.04,-80.09,0
"225",1996,"FL","TORNADO",0,0,26,-80.09,0
"226",1996,"FL","TORNADO",0,0.01,29.38,-81.37,0
"227",1996,"FL","TORNADO",0,0,25.25,-80.31,0
"228",1996,"FL","TORNADO",1,0,25.59,-80.09,0
"229",1996,"FL","TORNADO",1,0.05,29.1,-82.23,0
"230",1996,"FL","TORNADO",0,0,26.34,-81.56,0
"231",1996,"FL","TORNADO",0,0.25,26.36,-81.58,2
"232",1996,"FL","TORNADO",0,0,26.03,-81.4,0
"233",1996,"FL","TORNADO",0,0,30.22,-86.4,0
"234",1996,"FL","TORNADO",0,0.05,27.29,-82.34,0
"235",1996,"FL","TORNADO",0,0,25.37,-80.28,0
"236",1996,"FL","TORNADO",0,0.1,28.14,-80.36,0
"237",1996,"FL","TORNADO",0,0.01,28.05,-80.35,0
"238",1996,"FL","TORNADO",0,0,28.21,-80.43,0
"239",1996,"FL","TORNADO",0,0,27.06,-82.25,0
"240",1996,"FL","TORNADO",0,0.025,27.3,-82.34,0
"241",1996,"FL","TORNADO",0,0.075,26.33,-81.56,0
"242",1996,"FL","TORNADO",0,0,30.23,-86.22,0
"243",1996,"FL","TORNADO",0,0.03,27.44,-82.45,0
"244",1996,"FL","TORNADO",0,0.01,28.15,-82.43,0
"245",1996,"FL","TORNADO",1,0.01,29.44,-84.59,1
"246",1996,"FL","TORNADO",0,0,28.54,-81.14,0
"247",1996,"FL","TORNADO",0,0.005,29.12,-81,0
"248",1996,"FL","TORNADO",0,0.001,27.13,-81.53,0
"249",1996,"FL","TORNADO",0,0.001,27.19,-81.58,0
"250",1996,"FL","TORNADO",0,0.001,27.59,-81.49,0
"251",1996,"FL","TORNADO",0,0.005,28.01,-82.34,0
"252",1996,"FL","TORNADO",0,0.003,28.09,-82.4,0
"253",1996,"FL","TORNADO",0,0.002,28.33,-82.3,0
"254",1996,"FL","TORNADO",0,0,27.59,-82.07,0
"255",1996,"FL","TORNADO",0,0.001,28.06,-82.2,0
"256",1996,"FL","TORNADO",0,0.001,28.09,-82.03,0
"257",1996,"FL","TORNADO",0,0.001,28.1,-82.03,0
"258",1996,"FL","TORNADO",0,0.055,29,-82.1,0
"259",1996,"FL","TORNADO",0,0,28.33,-81.45,0
"260",1996,"FL","TORNADO",0,0,28.48,-81.39,0
"261",1996,"FL","TORNADO",0,0.0045,29.11,-82.07,0
"262",1996,"FL","TORNADO",0,0,28.51,-81.4,0
"263",1996,"FL","TORNADO",0,0.065,29.23,-81.39,0
"264",1996,"FL","TORNADO",0,0,29.14,-81.28,0
"265",1996,"FL","TORNADO",2,2.4,28.58,-80.53,0
"266",1996,"FL","TORNADO",0,0.002,29.43,-81.3,0
"267",1996,"FL","TORNADO",0,0.01,27.45,-82.28,0
"268",1996,"FL","TORNADO",0,0.005,28.04,-82.45,0
"269",1996,"FL","TORNADO",2,0.075,30.26,-87.06,7
"270",1996,"FL","TORNADO",2,0.5,30.28,-86.23,0
"271",1996,"FL","TORNADO",2,0.1,27.5,-82.18,1
"272",1996,"FL","TORNADO",0,0.015,26.56,-81.42,0
"273",1996,"GA","TORNADO",0,0.012,30.55,-82.1,0
"274",1996,"GA","TORNADO",0,0.01,32.4,-84.57,0
"275",1996,"GA","TORNADO",1,0.2,32.55,-84.19,0
"276",1996,"GA","TORNADO",2,8,31.35,-83.56,0
"277",1996,"GA","TORNADO",0,0.01,32.3,-82.56,0
"278",1996,"GA","TORNADO",1,0.1,31,-84.5,1
"279",1996,"GA","TORNADO",0,0.02,31.11,-83.52,0
"280",1996,"GA","TORNADO",0,0,31.03,-84.39,0
"281",1996,"GA","TORNADO",1,1,33.14,-82.23,5
"282",1996,"GA","TORNADO",0,0.01,32.53,-82.28,0
"283",1996,"GA","TORNADO",1,0.5,33.54,-84.2,0
"284",1996,"GA","TORNADO",1,0.4,34.28,-83.57,12
"285",1996,"GA","TORNADO",1,0.3,34.28,-83.54,0
"286",1996,"GA","TORNADO",0,1,34.32,-83.5,0
"287",1996,"GA","TORNADO",2,0.2,32.23,-83.1,7
"288",1996,"GA","TORNADO",1,0.05,32.26,-83.07,0
"289",1996,"GA","TORNADO",0,0,31.01,-82.01,0
"290",1996,"GA","TORNADO",0,0.005,32.34,-81.29,0
"291",1996,"ID","TORNADO",1,0.05,44.15,-116.58,0
"292",1996,"ID","TORNADO",1,0.05,43.47,-117.04,0
"293",1996,"ID","TORNADO",0,0,42.5,-113.01,0
"294",1996,"IL","TORNADO",0,0,39.26,-89.39,0
"295",1996,"IL","TORNADO",1,1.5,39.5,-88.57,9
"296",1996,"IL","TORNADO",0,0,39.31,-88.22,0
"297",1996,"IL","TORNADO",0,0,39.38,-88.1,0
"298",1996,"IL","TORNADO",1,0,39.39,-87.44,0
"299",1996,"IL","TORNADO",0,0,39.38,-87.43,0
"300",1996,"IL","TORNADO",1,0,40.59,-89.03,0
"301",1996,"IL","TORNADO",0,0,39.36,-90.33,0
"302",1996,"IL","TORNADO",0,0.002,38.19,-90.18,0
"303",1996,"IL","TORNADO",0,4,41,-90.57,0
"304",1996,"IL","TORNADO",2,0,40.12,-90.09,1
"305",1996,"IL","TORNADO",0,0,40.49,-89.54,0
"306",1996,"IL","TORNADO",1,4,41.01,-90.54,0
"307",1996,"IL","TORNADO",1,0,40.13,-89.52,0
"308",1996,"IL","TORNADO",2,0.4,39.44,-90.12,1
"309",1996,"IL","TORNADO",0,0.005,38.25,-89.56,0
"310",1996,"IL","TORNADO",0,0,41.04,-88.04,0
"311",1996,"IL","TORNADO",0,0,39.43,-90,0
"312",1996,"IL","TORNADO",0,0.25,39.43,-89.53,0
"313",1996,"IL","TORNADO",0,0.015,40.19,-89.21,0
"314",1996,"IL","TORNADO",0,0.0055,37.55,-89.52,0
"315",1996,"IL","TORNADO",2,1,40.19,-89.2,0
"316",1996,"IL","TORNADO",3,10,41.12,-90.07,4
"317",1996,"IL","TORNADO",0,0,41.09,-87.41,0
"318",1996,"IL","TORNADO",3,1,40.21,-89.15,0
"319",1996,"IL","TORNADO",0,10,41.1,-90.03,4
"320",1996,"IL","TORNADO",3,9,39.49,-89.11,29
"321",1996,"IL","TORNADO",2,7,38.35,-89.03,7
"322",1996,"IL","TORNADO",0,0,41.18,-89.31,0
"323",1996,"IL","TORNADO",1,0.5,39.54,-88.39,0
"324",1996,"IL","TORNADO",0,0.005,38.11,-89.51,0
"325",1996,"IL","TORNADO",1,1,39.59,-88.34,1
"326",1996,"IL","TORNADO",1,0.07,38.38,-88.45,0
"327",1996,"IL","TORNADO",0,0,38.4,-88.41,0
"328",1996,"IL","TORNADO",0,0.005,38.12,-89.42,0
"329",1996,"IL","TORNADO",0,0.009,37.58,-89.46,0
"330",1996,"IL","TORNADO",1,0.075,38.46,-89.11,0
"331",1996,"IL","TORNADO",1,0.05,37.57,-89.12,0
"332",1996,"IL","TORNADO",1,0,38.45,-89.08,0
"333",1996,"IL","TORNADO",1,0.02,37.58,-89.09,0
"334",1996,"IL","TORNADO",1,0.075,38.5,-89.02,0
"335",1996,"IL","TORNADO",3,9,40.04,-88.15,12
"336",1996,"IL","TORNADO",3,0,40.07,-87.57,14
"337",1996,"IL","TORNADO",0,0,40.05,-87.43,0
"338",1996,"IL","TORNADO",3,0.2,38.09,-88.45,0
"339",1996,"IL","TORNADO",3,2.8,38.08,-88.42,0
"340",1996,"IL","TORNADO",3,0.2,38.15,-88.25,0
"341",1996,"IL","TORNADO",1,1,38.06,-88.1,0
"342",1996,"IL","TORNADO",2,6.6,42.27,-87.5,2
"343",1996,"IL","TORNADO",0,0,39.03,-88.09,0
"344",1996,"IL","TORNADO",0,0,39,-87.57,0
"345",1996,"IL","TORNADO",0,0,41.04,-90.33,0
"346",1996,"IL","TORNADO",0,0,40.59,-90.38,0
"347",1996,"IL","TORNADO",1,0.5,41.52,-90.1,0
"348",1996,"IN","TORNADO",1,2,39.37,-86.19,5
"349",1996,"IN","TORNADO",1,2,39.37,-86.15,0
"350",1996,"IL","TORNADO",1,0,42.14,-88.32,0
"351",1996,"IL","TORNADO",1,0.25,39.22,-89.53,0
"352",1996,"IL","TORNADO",0,0.01,38.35,-89.03,0
"353",1996,"IL","TORNADO",0,0,39.42,-90.46,0
"354",1996,"IL","TORNADO",0,0,39.49,-90.58,0
"355",1996,"IL","TORNADO",0,0,39.4,-89.53,0
"356",1996,"IL","TORNADO",0,0,40.11,-88.15,0
